Timestamp,SensorID_enc,TimeDelta,event_count,progress_ratio,participant_id,task_id,TimeOfDay_enc,SensorType_enc,sensor_value_binary,sensor_value_continuous,sensor_value_phone,ActivityLabel
43:27.4,15,0,0,0,1,0,1,3,1,0,0,Make a phone call
43:27.8,14,0.015959663,0.014084507,0.001210915,1,0,1,3,1,0,0,Make a phone call
43:28.5,16,0.023621528,0.028169014,0.003003162,1,0,1,3,1,0,0,Make a phone call
43:29.2,18,0.02720257,0.042253521,0.005067115,1,0,1,3,1,0,0,Make a phone call
43:29.5,23,0.010238062,0.056338028,0.005843912,1,0,1,3,0,0,0,Make a phone call
43:30.2,13,0.024389588,0.070422535,0.007694435,1,0,1,3,0,0,0,Make a phone call
43:30.3,14,0.004659714,0.084507042,0.008047983,1,0,1,3,0,0,0,Make a phone call
43:31.5,17,0.044571035,0.098591549,0.011429742,1,0,1,3,1,0,0,Make a phone call
43:31.5,15,0,0.112676056,0.011429742,1,0,1,3,0,0,0,Make a phone call
43:32.2,16,0.025796209,0.126760563,0.01338699,1,0,1,3,0,0,0,Make a phone call
43:33.1,12,0.034000662,0.14084507,0.015966738,1,0,1,2,0,0,0,Make a phone call
43:33.6,18,0.017703586,0.154929577,0.01730997,1,0,1,3,0,0,0,Make a phone call
43:59.5,17,0.957693554,0.169014085,0.089973494,1,0,1,3,0,0,0,Make a phone call
44:03.7,17,0.156150009,0.183098592,0.101821136,1,0,1,3,1,0,0,Make a phone call
44:09.9,17,0.22916114,0.197183099,0.119208384,1,0,1,3,1,0,0,Make a phone call
44:15.7,17,0.213556413,0.211267606,0.135411649,1,0,1,3,0,0,0,Make a phone call
44:18.0,17,0.084093002,0.225352113,0.141792076,1,0,1,3,1,0,0,Make a phone call
44:25.5,17,0.27835577,0.23943662,0.162911891,1,0,1,3,0,0,0,Make a phone call
44:27.8,17,0.085625833,0.253521127,0.16940862,1,0,1,3,1,0,0,Make a phone call
44:28.8,17,0.037563738,0.267605634,0.17225871,1,0,1,3,0,0,0,Make a phone call
44:29.6,17,0.027839651,0.281690141,0.174371001,1,0,1,3,1,0,0,Make a phone call
44:35.4,17,0.215892166,0.295774648,0.190751487,1,0,1,3,0,0,0,Make a phone call
44:35.8,17,0.015337555,0.309859155,0.1919152,1,0,1,3,1,0,0,Make a phone call
44:40.5,17,0.171744052,0.323943662,0.204946016,1,0,1,3,0,0,0,Make a phone call
44:46.6,17,0.22666546,0.338028169,0.222143909,1,0,1,3,1,0,0,Make a phone call
44:48.6,17,0.073434348,0.352112676,0.227715627,1,0,1,3,0,0,0,Make a phone call
44:50.6,17,0.074876015,0.366197183,0.233396729,1,0,1,3,1,0,0,Make a phone call
45:00.2,17,0.353534115,0.38028169,0.260220586,1,0,1,3,1,0,0,Make a phone call
45:14.5,17,0.52902786,0.394366197,0.30035976,1,0,1,3,0,0,0,Make a phone call
45:16.5,17,0.07445265,0.408450704,0.306008741,1,0,1,3,1,0,0,Make a phone call
45:32.4,17,0.588876857,0.422535211,0.350688866,1,0,1,3,0,0,0,Make a phone call
45:32.7,17,0.009108485,0.436619718,0.351379958,1,0,1,3,1,0,0,Make a phone call
45:38.8,17,0.224633145,0.450704225,0.368423652,1,0,1,3,0,0,0,Make a phone call
45:39.7,17,0.033298479,0.464788732,0.370950123,1,0,1,3,1,0,0,Make a phone call
45:45.5,17,0.215585141,0.478873239,0.387307314,1,0,1,3,0,0,0,Make a phone call
45:47.9,17,0.088239887,0.492957746,0.394002379,1,0,1,3,1,0,0,Make a phone call
45:59.9,17,0.444545985,0.507042254,0.427731622,1,0,1,3,0,0,0,Make a phone call
46:01.7,17,0.064454588,0.521126761,0.432622014,1,0,1,3,1,0,0,Make a phone call
46:04.5,17,0.105773454,0.535211268,0.440647412,1,0,1,3,0,0,0,Make a phone call
46:07.5,17,0.11057838,0.549295775,0.449037377,1,0,1,3,1,0,0,Make a phone call
46:09.5,17,0.074728399,0.563380282,0.454707279,1,0,1,3,0,0,0,Make a phone call
46:19.5,17,0.369543686,0.577464789,0.482745837,1,0,1,3,1,0,0,Make a phone call
46:26.3,17,0.248825099,0.591549296,0.501625059,1,0,1,3,0,0,0,Make a phone call
46:29.9,17,0.133788669,0.605633803,0.511776068,1,0,1,3,1,0,0,Make a phone call
46:30.9,17,0.038257787,0.61971831,0.514678819,1,0,1,3,0,0,0,Make a phone call
46:31.3,17,0.01513907,0.633802817,0.515827472,1,0,1,3,1,0,0,Make a phone call
46:32.8,17,0.054023032,0.647887324,0.519926387,1,0,1,3,0,0,0,Make a phone call
46:36.3,17,0.131726225,0.661971831,0.529920911,1,0,1,3,1,0,0,Make a phone call
46:37.4,17,0.040063225,0.676056338,0.532960647,1,0,1,3,0,0,0,Make a phone call
46:40.7,17,0.122935633,0.690140845,0.542288199,1,0,1,3,1,0,0,Make a phone call
46:47.3,17,0.240381607,0.704225352,0.560526783,1,0,1,3,0,0,0,Make a phone call
46:54.4,17,0.265289348,0.718309859,0.580655204,1,0,1,3,1,0,0,Make a phone call
47:03.3,17,0.327004226,0.732394366,0.605466146,1,0,1,3,0,0,0,Make a phone call
47:03.6,17,0.012492743,0.746478873,0.606414014,1,0,1,3,1,0,0,Make a phone call
47:06.0,17,0.087441549,0.76056338,0.613048507,1,0,1,3,0,0,0,Make a phone call
47:14.1,17,0.300838331,0.774647887,0.635874152,1,0,1,3,1,0,0,Make a phone call
47:30.0,17,0.586225613,0.788732394,0.680353118,1,0,1,3,0,0,0,Make a phone call
47:33.6,17,0.135810041,0.802816901,0.690657496,1,0,1,3,1,0,0,Make a phone call
47:37.0,24,0.124015229,0.816901408,0.700066961,1,0,1,4,0,0,1,Make a phone call
47:42.4,17,0.198395974,0.830985915,0.71511995,1,0,1,3,0,0,1,Make a phone call
47:42.8,17,0.015004578,0.845070423,0.716258399,1,0,1,3,1,0,1,Make a phone call
47:46.4,17,0.135046121,0.85915493,0.726504816,1,0,1,3,0,0,1,Make a phone call
47:59.4,17,0.480256262,0.873239437,0.76294352,1,0,1,3,1,0,1,Make a phone call
48:02.3,17,0.106031754,0.887323944,0.770988516,1,0,1,3,0,0,1,Make a phone call
48:16.5,17,0.525878981,0.901408451,0.810888775,1,0,1,3,1,0,1,Make a phone call
48:19.5,17,0.110799083,0.915492958,0.819295485,1,0,1,3,0,0,1,Make a phone call
48:46.6,17,1,0.929577465,0.895168945,1,0,1,3,1,0,1,Make a phone call
